index	label	prediction	l0	l2	cost
370	1	1	3	0.0001580544842767835	0.0002446
56	1	1	4	0.0010421886393546993	0.0022154999999999996
149	1	1	3	0.006580921433963485	0.008562
247	1	1	7	0.0003043393336392784	0.0006590999999999996
97	1	1	2	0.0003576633612770533	0.0007325999999999998
129	1	1	4	0.0035325063354507942	0.006307699999999999
8	1	1	3	0.013545287504146969	0.017896099999999998
64	1	1	1	0.14203620000000003	0.28407240000000006
364	1	1	1	0.07075319999999996	0.14150639999999992
373	1	1	4	0.035070789586349495	0.0713665
125	1	1	8	0.03546063115583253	0.065595
256	1	1	1	0.07075319999999996	0.14150639999999992
151	1	1	3	0.00857173759631033	0.0086076
480	1	1	7	0.018121126760772904	0.039631099999999995
418	1	1	2	0.004474725486552219	0.0057494
312	1	1	3	0.00010398446999432175	0.0001641
250	1	1	8	0.00114730164734476	0.0042139
414	1	1	3	0.008571959739172835	0.0086541
12	1	1	1	0.07075319999999996	0.14150639999999992
278	1	1	4	0.001070333130385115	0.0022984999999999998
207	1	1	7	0.002385651059983417	0.005222600000000001
420	1	1	3	0.0003225752935362533	0.0006753
0	1	1	1	0.07075319999999996	0.14150639999999992
468	1	1	5	0.0010443302159757707	0.0024397
27	1	1	3	0.008629875678131175	0.0105898
282	1	1	3	0.125998361092992	0.1299006
289	1	1	7	0.002663202326147978	0.004062500000000004
416	1	1	4	0.002002800204713391	0.004165000000000001
306	1	1	5	0.0003789338992489324	0.0008614000000000006
30	1	1	3	0.008571959739172835	0.0086541
181	1	1	3	0.09023407823416828	0.15270630000000002
235	1	1	7	0.0017148601488168067	0.0041856
50	1	1	3	0.0012385047920779313	0.0027817999999999996
166	1	1	1	0.07075319999999996	0.14150639999999992
253	1	1	7	0.11020476575960768	0.16944789999999998
208	1	1	7	0.02016658126654094	0.033623
294	1	1	2	0.0015623084618602043	0.003967799999999995
272	1	1	6	0.05412291056281065	0.06966890000000002
162	1	1	5	0.00652193992995949	0.011843699999999999
111	1	1	6	0.05412291056281065	0.06966890000000002
89	1	1	6	0.00028334720750344437	0.0008128999999999999
131	1	1	3	0.00857173759631033	0.0086076
213	1	1	3	0.0010000223097511372	0.0020353
66	1	1	8	0.007818162665869774	0.0108451
227	1	1	3	4.2632382058712136e-05	6.160000000000002e-05
449	1	1	1	0.14203620000000003	0.28407240000000006
180	1	1	6	0.05412291056281065	0.06966890000000002
430	1	1	5	0.0006617512372485599	0.0015251999999999998
165	1	1	1	0.07075319999999996	0.14150639999999992
120	1	1	6	0.0012074786499147716	0.0031078999999999994
459	1	1	1	0.07075319999999996	0.14150639999999992
109	1	1	5	0.054121969283739114	0.06934970000000001
185	1	1	2	0.0002640524190383417	0.00028440000000000003
299	1	1	1	0.07075319999999996	0.14150639999999992
41	1	1	4	0.004727202276188317	0.011680199999999998
403	1	1	4	0.0010755208087247774	0.0024104999999999994
473	1	1	5	0.054121969283739114	0.06934970000000001
490	1	1	1	0.07075319999999996	0.14150639999999992
313	1	1	1	0.0009822	0.0019644
330	1	1	5	0.0541227205386056	0.06959120000000002
126	1	1	2	3.774824499231718e-05	5.759999999999999e-05
286	1	1	1	0.07075319999999996	0.14150639999999992
401	1	1	1	0.07075319999999996	0.14150639999999992
456	1	1	8	0.04255911583339109	0.06170280000000002
176	1	1	7	0.0006767005467708739	0.0016089999999999998
434	1	1	4	0.0010714357703567674	0.0022264999999999997
384	1	1	3	4.2696252762976754e-05	6.209999999999998e-05
274	1	1	1	0.14203620000000003	0.28407240000000006
402	1	1	5	0.00013941628312360083	0.00041980000000000023
238	1	1	7	0.00047738881428035173	0.0014932000000000036
146	1	1	8	0.0062863610554914845	0.0252741
224	1	1	7	0.004230238046493365	0.010404200000000011
409	1	1	8	0.0015830331866388651	0.0035448999999999997
68	1	1	1	0.0008091999999999999	0.0016183999999999999
186	1	1	5	0.034983392678526765	0.07050120000000001
96	1	1	3	0.00010398446999432175	0.0001641
33	1	1	7	0.00042401683928825276	0.0011820999999999997
477	1	1	8	0.009670223067230666	0.028202100000000008
295	1	1	6	0.02016692554506016	0.0336299
447	1	1	3	0.008764516938770783	0.008965099999999998
177	1	1	1	0.07075319999999996	0.14150639999999992
328	1	1	6	0.00020527929754361496	0.0005039
377	1	1	1	0.07075319999999996	0.14150639999999992
405	1	1	5	0.0012446571013737077	0.0030318000000000003
334	1	1	3	0.0010790487338392088	0.0022952999999999997
55	1	1	1	0.14203620000000003	0.28407240000000006
59	1	1	1	1.820000000000001e-05	1.820000000000001e-05
78	1	1	4	0.0015415651981022403	0.0033026999999999996
194	1	1	4	0.00017508643579672298	0.0002498
443	1	1	1	0.2970342	0.5940684
308	1	1	5	0.0009711997992174422	0.0021907
4	1	1	3	0.00857173759631033	0.0086076
37	1	1	5	0.0002419001860272125	0.000531
72	1	1	1	0.07075319999999996	0.14150639999999992
107	1	1	6	0.004349712121508732	0.005228099999999999
259	1	1	1	0.14203620000000003	0.28407240000000006
378	1	1	1	0.07075319999999996	0.14150639999999992
355	1	1	6	0.02016692554506016	0.0336299
407	1	1	5	0.006706984922452115	0.008830199999999998

attacked 99/100 points, average l0 distortion:3.898990, average l1 distortion:0.034009,  average l2 distortion:0.031504, average linf distortion:0.030913, acc:0.990000
average weighted l1 distortion: 0.057627878787878783
total time:4590.194135
