index	label	prediction	l0	l2	cost
370	1	1	1	7.769999999999999e-05	0.00015539999999999998
56	1	1	2	0.0012258351153397423	0.0024695999999999993
149	1	1	4	0.001474336633879793	0.00358
247	1	1	5	0.001249670896676401	0.0018451999999999997
97	1	1	3	0.001335604739434538	0.0023622999999999995
129	1	1	4	0.002412111919045217	0.0055439999999999994
8	1	1	2	0.00897119984060103	0.018036099999999996
64	1	1	4	0.0003725883921970732	0.0008625000000000202
364	1	1	3	0.03333593291134957	0.033816099999999995
373	1	1	4	0.0009542183502741917	0.0021555000000000003
125	1	1	2	0.0030713144710367906	0.0062641
256	1	1	3	0.03333376434143014	0.0334251
151	1	1	3	0.0008105848629230719	0.0017365000000000188
480	1	1	3	0.0008740884223006274	0.0009613000000000017
418	1	1	3	0.025021452528180693	0.0262906
312	1	1	3	0.00010265656335568586	0.00018329999999999828
250	1	1	2	0.0011116598985301213	0.0023335999999999995
414	1	1	3	0.0008120316927312721	0.0017008000000000188
12	1	1	3	0.03333390898574602	0.0334791
278	1	1	3	0.0005228508104612634	0.0010298
207	1	1	5	0.002895737850704031	0.006005699999999999
420	1	1	2	0.0006529699303949608	0.0013361
0	1	1	2	0.033333721888352034	0.033371899999999996
468	1	1	2	0.001208837015482236	0.0024355999999999996
27	1	1	2	0.001208837015482236	0.0024355999999999996
282	1	1	3	0.0014513823135204537	0.0030517999999999895
289	1	1	3	0.00021144022796052784	0.00043029999999999967
416	1	1	3	0.002453606849110102	0.005027300000000001
306	1	1	2	0.0005140223049635103	0.0010456000000000003
30	1	1	3	0.0008120316927312721	0.0017008000000000188
181	1	1	2	0.00406107966925053	0.009076599999999999
235	1	1	6	0.001253966123944343	0.0020526
50	1	1	3	0.0016433892935029115	0.0028852999999999995
166	1	1	3	0.03333376434143014	0.0334251
253	1	1	5	0.004780631673743538	0.007355199999999992
208	1	1	3	0.00018287528537229956	0.0002831
294	1	1	2	0.006026272706242226	0.0062526000000000005
272	1	1	4	0.014892587419921369	0.015081800000000008
162	1	1	2	0.0016532629343210957	0.0041458
111	1	1	4	0.014892587419921369	0.015081800000000008
89	1	1	3	0.0004928198656710175	0.0010912999999999995
131	1	1	3	0.0008105848629230719	0.0017365000000000188
311	1	1	1	0.0003826999999999997	0.0003826999999999997
213	1	1	4	0.001747327004312587	0.0044407
66	1	1	2	0.0021762777235454084	0.0022888999999999965
227	1	1	1	6.069999999999947e-05	0.00012139999999999894
449	1	1	4	0.0003725883921970732	0.0008625000000000202
180	1	1	4	0.014892587419921369	0.015081800000000008
430	1	1	4	0.0002333813617236819	0.00043550000000000023
165	1	1	2	0.03333389391265292	0.033447399999999995
120	1	1	3	0.0007706650180201513	0.0016198000000000002
459	1	1	2	0.03333389391265292	0.033447399999999995
109	1	1	1	0.014891700000000008	0.014891700000000008
185	1	1	3	0.0027196177341678013	0.002850600000000001
299	1	1	2	0.033333742453105976	0.0333869
41	1	1	3	0.0009875715518381444	0.0029510000000000014
403	1	1	3	0.0005441022146619145	0.0012853000000000003
473	1	1	1	0.014891700000000008	0.014891700000000008
490	1	1	2	0.033333742453105976	0.0333869
313	1	1	1	0.0011906999999999998	0.0023813999999999997
330	1	1	5	0.014891795863830534	0.0149825
126	1	1	1	0.00017419999999999936	0.00017419999999999936
286	1	1	3	0.03333376434143014	0.0334251
401	1	1	3	0.03333390898574602	0.0334791
456	1	1	4	0.014891714982163748	0.0149213
176	1	1	3	0.0006008569463691003	0.0012814999999999999
434	1	1	2	0.001244539344496589	0.002578799999999999
384	1	1	1	0.00014820000000000024	0.00014820000000000024
274	1	1	4	0.0004341535557841258	0.0009985000000000202
402	1	1	3	0.0008273765285527504	0.0017948000000000003
238	1	1	3	0.00025667639159065634	0.0006042999999999998
146	1	1	4	0.004495371937893459	0.007054499999999998
224	1	1	3	0.0005681943505526961	0.0012923000000000001
409	1	1	3	0.002463068963711735	0.0050698
68	1	1	4	0.0007244139079283335	0.0017127
186	1	1	4	0.0010848555249432985	0.0025559999999999997
96	1	1	3	0.00010265656335568586	0.00018329999999999828
33	1	1	5	0.0023734881609142277	0.0035604
477	1	1	4	0.0001769979095921757	0.0002998
295	1	1	3	0.00020174307918736643	0.0002591
447	1	1	4	0.005286049480472158	0.006770499999999997
177	1	1	2	0.03333389391265292	0.033447399999999995
328	1	1	4	0.0014564475994693388	0.002103
377	1	1	3	0.03333390898574602	0.0334791
405	1	1	2	0.002289000803844333	0.004685600000000001
334	1	1	4	0.0005608454867430067	0.0013395000000000004
55	1	1	4	0.0003725883921970732	0.0008625000000000202
59	1	1	1	8.700000000000374e-06	1.7400000000000748e-05
78	1	1	5	0.001968943130209707	0.0051053999999999995
194	1	1	2	0.0002094492301251061	0.0004350999999999983
443	1	1	5	0.008680490052410651	0.01446250000000002
308	1	1	3	0.0006143534568959468	0.0010278
4	1	1	3	0.0008105848629230719	0.0017365000000000188
37	1	1	4	0.0014618179640434029	0.0021499999999999996
72	1	1	2	0.03333389391265292	0.033447399999999995
107	1	1	2	0.0005875599799169443	0.0015978000000000001
259	1	1	4	0.0004341535557841258	0.0009985000000000202
378	1	1	2	0.033333742453105976	0.0333869
355	1	1	3	0.00020174307918736643	0.0002591
407	1	1	3	0.0014920315747329208	0.0031163

attacked 100/100 points, average l0 distortion:2.970000, average l1 distortion:0.007753,  average l2 distortion:0.007405, average linf distortion:0.007322, acc:1.000000
average weighted l1 distortion: 0.008384974000000002
total time:97.652066
