index	label	prediction	l0	l1	l2	linf
195	0	0	92	21.9196269	2.4064545735993708	0.3313727
179	0	0	158	45.521603600000006	3.728135708481535	0.3588237
1911	1	1	117	34.5059064	3.2976963666974983	0.3588237
861	0	0	90	23.609821500000002	2.6586597353725523	0.3588237
976	0	0	70	17.401976499999996	2.1593167783754077	0.3039217
83	1	1	113	31.8921801	3.104613668663586	0.34313720000000003
1288	1	1	130	36.709840500000006	3.3478294997865032	0.3588237
1526	0	0	168	39.7078762	3.2992485898859485	0.3431377
61	0	0	50	11.998047	1.7974929160117155	0.30392220000000003
802	1	1	104	26.070622800000002	2.6981464778458486	0.3235302
433	1	1	48	12.2392246	1.8558314045907889	0.3039217
1029	1	1	39	8.909812800000001	1.5438047965262838	0.3058827
340	0	0	88	23.260799600000002	2.662000877366933	0.3588237
1342	1	1	122	32.9568929	3.1325676705838346	0.3470592
102	1	1	80	18.8235525	2.227513710429871	0.3058827
1475	0	0	87	21.2862894	2.485473432272065	0.35098019999999996
551	0	0	74	19.6882518	2.380344807703342	0.32745070000000004
595	0	0	87	20.858841899999998	2.455813423379417	0.3392157
936	0	0	91	19.8431557	2.3065792828126224	0.3196077
1678	1	1	120	35.135322	3.3077594457949933	0.3588237
261	0	0	1	6.999999999646178e-07	6.999999999646178e-07	6.999999999646178e-07
880	1	1	80	16.152951	2.0267710781355404	0.3039217
893	0	0	181	45.154937200000006	3.637145145212814	0.3901962
1594	0	0	142	40.121600400000005	3.4830355002622326	0.3588237
1421	1	1	128	35.6451246	3.2761784658320616	0.3470592
267	0	0	102	26.0843369	2.7683846497884703	0.3588237
557	0	0	73	16.7431571	2.234345716027999	0.35882420000000004
1619	1	1	201	54.01572470000001	4.021671160635289	0.3588237
461	0	0	140	34.211797399999995	3.0806536416446137	0.3372547
1598	1	1	109	31.6078633	3.130983378951605	0.3529417
1188	0	0	125	32.019637	3.01069852806426	0.3313727
1353	0	0	111	30.4686492	3.0211799783059496	0.3392157
1128	0	0	173	45.729446100000004	3.6808735557811914	0.3666672
765	1	1	22	1.8333388999999998	0.48976113716324	0.2411762
166	1	1	93	21.886295099999998	2.419509637645833	0.30980469999999993
996	0	0	114	30.825514300000002	3.0874568637775184	0.35882420000000004
862	0	0	96	24.9745307	2.6904632516108986	0.3392157
947	1	1	123	31.747084600000004	3.0058591423691863	0.32352970000000003
1529	1	1	92	21.4647254	2.4279241207465647	0.32352970000000003
1620	0	0	158	43.8274852	3.633189358092903	0.3588237
1320	0	0	91	20.935313700000002	2.3493888005565595	0.3058827
1307	0	0	128	34.862770600000005	3.2535584388847423	0.3588237
1819	1	1	107	29.6117914	2.9733686391254586	0.3450982
1804	1	1	136	37.89806970000001	3.4020385351037974	0.3509807
1716	0	0	210	61.262786	4.438380043045435	0.3901962
923	1	1	108	27.815710600000003	2.7954839021471614	0.31568670000000004
376	1	1	103	27.3372781	2.8219038978280904	0.3313727
1801	0	0	141	38.9215967	3.4512178233739883	0.3588237
408	1	1	97	26.370607900000003	2.7753278407772894	0.3294122
1503	0	0	159	47.6235583	3.9889119512433724	0.41372570000000003
1396	1	1	101	28.1823757	2.9098833989955666	0.3411767
373	1	1	65	16.582366	2.1566404943066657	0.3117647
1533	1	1	78	20.5176626	2.4501914114885843	0.34117620000000004
1610	0	0	88	22.450998099999996	2.5150758788862553	0.3352942
1158	1	1	91	24.633352700000003	2.6438715135168143	0.30980420000000003
1781	0	0	193	48.211801200000004	3.8166107147674913	0.3901962
1300	1	1	102	27.8510014	2.881791998670355	0.3411767
1852	1	1	111	29.166691200000002	2.9255969894381457	0.3294122
1522	0	0	132	35.960819900000004	3.3324202330251556	0.3745102
12	0	0	77	17.2019774	2.1026454185041232	0.3019612
1833	1	1	124	35.1745358	3.289310746494144	0.3588237
398	1	1	105	26.96473	2.7701499674044365	0.3294122
223	1	1	120	33.0313934	3.148331690825797	0.35098070000000003
1268	1	1	85	20.1823735	2.312875729177478	0.30980420000000003
231	0	0	153	41.0059105	3.4987508721877285	0.3588237
393	0	0	32	3.4921648999999997	0.666745895624735	0.17451019999999995
733	1	1	36	8.825496699999999	1.5386745971195437	0.3039217
968	0	0	124	32.5353303	3.0758836886332213	0.3431377
182	0	0	138	39.3980666	3.488827140063709	0.3588237
1870	1	1	117	34.770611800000005	3.3088470645036017	0.3588237
1887	0	0	188	50.549058200000005	3.9029928198979458	0.3725492
162	1	1	25	5.607848499999999	1.2425536859543131	0.3058827
1254	0	0	108	27.5960996	2.813208804441828	0.3392162
883	1	1	98	25.8784551	2.7312447803222195	0.3294122
1600	0	0	14	1.0901978	0.3115862512725169	0.12745070000000003
15	1	1	117	32.5333584	3.116572504823076	0.3470592
1760	1	1	101	27.7941372	2.9238942726931563	0.3490197
670	0	0	117	32.7196339	3.1703758065674377	0.3588237
101	0	0	112	27.517667900000006	2.7542162531515983	0.32352970000000003
337	0	0	82	21.3137474	2.455464875731514	0.3196082
1247	1	1	112	29.9215979	2.9563048475958853	0.3294122
1178	0	0	68	14.533348100000001	1.913156209535638	0.3019612
1048	0	0	186	54.5392517	4.205663684436024	0.4019607
238	1	1	110	29.82355	2.959130007043895	0.3411767
360	1	1	115	28.0510084	2.8831648339702536	0.3313727000000001
114	1	1	54	13.778443800000002	1.9858366905833067	0.3196082
1645	1	1	121	31.9647368	3.0165506301656104	0.3196082
506	1	1	92	22.7470794	2.513436167136651	0.32352970000000003
967	1	1	69	18.409818800000004	2.2919085829303403	0.3058827
1100	0	0	149	43.2118033	3.7098089075209266	0.3901962
1176	0	0	45	8.8058915	1.4313160386983197	0.3000002
160	0	0	116	27.8000262	2.7855915253805326	0.3313727
1829	1	1	100	29.719632	3.0421103990631733	0.3588237
1903	1	1	128	35.2470846	3.2426415456194384	0.3490197
427	1	1	123	33.0196301	3.092771181353281	0.3313727
471	0	0	147	38.3137609	3.325347187802598	0.3509807
1626	0	0	131	34.0000262	3.106090152648864	0.3313727
1826	1	1	99	28.5764898	2.932359987462651	0.3294122
1851	0	0	72	18.3058999	2.2839816195394023	0.3274512
1702	1	1	116	30.1823742	2.984416925636403	0.3411767

attacked 100/100 points, average l0 distortion:106.590000, average l1 distortion:28.091846,  average l2 distortion:2.771478, average linf distortion:0.331726, acc:1.000000
total time:12362.410307
