index	label	prediction	l0	l1	l2	linf
106	1	1	1	0.5000002	0.5000002	0.5000002
4	1	1	3	1.2777786	0.7432831356578192	0.5000002
22	0	0	1	0.5000002	0.5000002	0.5000002
30	1	1	3	0.5000006000000001	0.3967463692103811	0.38888920000000005
80	0	0	1	0.5000002	0.5000002	0.5000002
33	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
29	1	1	1	0.16666720000000013	0.16666720000000013	0.16666720000000013
58	0	0	1	0.5000002	0.5000002	0.5000002
130	0	0	1	0.5000002	0.5000002	0.5000002
127	0	0	1	0.5000002	0.5000002	0.5000002
90	0	0	1	0.3888892	0.3888892	0.3888892
76	0	0	1	0.5000002	0.5000002	0.5000002
0	0	0	1	0.5000002	0.5000002	0.5000002
17	0	0	1	0.5000002	0.5000002	0.5000002
50	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
126	0	0	1	0.5000002	0.5000002	0.5000002
3	0	0	1	0.3888892	0.3888892	0.3888892
12	0	0	1	0.5000002	0.5000002	0.5000002
113	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
112	0	0	1	0.5000002	0.5000002	0.5000002
125	0	0	1	0.27777820000000003	0.27777820000000003	0.27777820000000003
89	0	0	1	0.5000002	0.5000002	0.5000002
43	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
77	0	0	1	0.5000002	0.5000002	0.5000002
78	0	0	1	0.5000002	0.5000002	0.5000002
134	1	1	2	0.8888894	0.6334311405959452	0.5000002
122	0	0	1	0.5000002	0.5000002	0.5000002
1	0	0	1	0.5000002	0.5000002	0.5000002
94	0	0	1	0.5000002	0.5000002	0.5000002
124	0	0	1	0.5000002	0.5000002	0.5000002
120	0	0	1	0.3888892	0.3888892	0.3888892
62	0	0	1	0.5000002	0.5000002	0.5000002
69	0	0	1	0.5000002	0.5000002	0.5000002
40	0	0	1	0.5000002	0.5000002	0.5000002
79	0	0	1	0.5000002	0.5000002	0.5000002
44	1	1	3	0.8333346000000003	0.5061358452310211	0.38888920000000005
117	0	0	1	0.5000002	0.5000002	0.5000002
129	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
25	1	1	3	1.2777786	0.7432831356578192	0.5000002
8	1	1	1	0.16666720000000013	0.16666720000000013	0.16666720000000013
87	0	0	1	0.5000002	0.5000002	0.5000002
75	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
11	0	0	1	0.5000002	0.5000002	0.5000002
35	0	0	2	1.0000003999999998	0.7071070640292599	0.5000002
65	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
82	0	0	1	0.5000002	0.5000002	0.5000002
5	0	0	2	1.0000003999999998	0.7071070640292599	0.5000002
88	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
70	0	0	1	0.5000002	0.5000002	0.5000002
24	0	0	1	0.5000002	0.5000002	0.5000002
111	0	0	2	1.0000003999999998	0.7071070640292599	0.5000002
23	0	0	1	0.5000002	0.5000002	0.5000002
34	0	0	1	0.5000002	0.5000002	0.5000002
97	0	0	1	0.5000002	0.5000002	0.5000002
41	0	0	1	0.5000002	0.5000002	0.5000002
52	0	0	1	0.5000002	0.5000002	0.5000002
55	0	0	1	0.5000002	0.5000002	0.5000002
57	0	0	1	0.5000002	0.5000002	0.5000002
73	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
114	0	0	2	1.0000003999999998	0.7071070640292599	0.5000002
16	0	0	1	0.5000002	0.5000002	0.5000002
67	0	0	1	0.5000002	0.5000002	0.5000002
131	0	0	1	0.5000002	0.5000002	0.5000002
132	0	0	2	1.0000003999999998	0.7071070640292599	0.5000002
19	0	0	1	0.5000001999999999	0.5000001999999999	0.5000001999999999
103	0	0	1	0.5000002	0.5000002	0.5000002
100	0	0	1	0.3888892	0.3888892	0.3888892
136	1	1	1	0.16666720000000013	0.16666720000000013	0.16666720000000013
32	0	0	1	0.5000001999999999	0.5000001999999999	0.5000001999999999
6	0	0	1	0.3888892	0.3888892	0.3888892
46	0	0	1	0.5000002	0.5000002	0.5000002
39	0	0	1	0.5000002	0.5000002	0.5000002
54	0	0	1	0.3888892	0.3888892	0.3888892
99	0	0	1	0.5000002	0.5000002	0.5000002
101	0	0	1	0.3888892	0.3888892	0.3888892
37	0	0	1	0.5000002	0.5000002	0.5000002
123	0	0	1	0.5000002	0.5000002	0.5000002
128	0	0	1	0.5000002	0.5000002	0.5000002
36	0	0	1	0.3888892	0.3888892	0.3888892
135	1	1	1	0.055555699999999986	0.055555699999999986	0.055555699999999986
38	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
2	0	0	1	0.5000002	0.5000002	0.5000002
96	1	1	2	0.5555564000000002	0.4230990019280122	0.38888920000000005
7	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
64	1	1	1	0.16666670000000006	0.16666670000000006	0.16666670000000006
10	1	1	3	1.2777786	0.7432831356578192	0.5000002
47	1	1	2	0.7777784000000001	0.5499723809004231	0.38888920000000005
28	0	0	1	0.5000002	0.5000002	0.5000002
72	0	0	1	0.5000002	0.5000002	0.5000002
21	1	1	2	0.8888894	0.6334311405959452	0.5000002
45	0	0	1	0.5000002	0.5000002	0.5000002
20	1	1	2	0.7777784000000001	0.5499723809004231	0.38888920000000005
31	1	1	1	0.38888920000000005	0.38888920000000005	0.38888920000000005
86	1	1	2	0.8888894	0.6334311405959452	0.5000002
63	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
91	0	0	1	0.5000002	0.5000002	0.5000002
92	0	0	1	0.5000002	0.5000002	0.5000002
119	1	1	3	0.8333341000000001	0.5527712506595925	0.38888920000000005
81	0	0	1	0.5000002	0.5000002	0.5000002

attacked 99/100 points, average l0 distortion:1.232323, average l1 distortion:0.520763,  average l2 distortion:0.468911, average linf distortion:0.440516, acc:0.990000
total time:26.298796
