index	label	prediction	l0	l1	l2	linf
195	0	0	82	1.6078659000000002	0.23467413992775174	0.0529412
179	0	0	115	3.3314	0.39240857573121407	0.07647119999999999
1911	1	1	108	3.7274781	0.4514213032081783	0.09215720000000001
861	0	0	74	1.6392308	0.24702873840782172	0.0607847
976	0	0	82	1.2019803999999998	0.16701392455684644	0.04509819999999998
83	1	1	87	1.3588424	0.17242785991097842	0.0294122
1288	1	1	72	1.8608024000000003	0.25563400853579715	0.0529412
1526	0	0	120	4.1274835	0.49795256932548304	0.09215720000000001
61	0	0	48	0.30197560000000007	0.05384284011658375	0.015686699999999998
802	1	1	79	1.6725668000000002	0.23616804487707477	0.056863199999999996
433	1	1	50	0.3627580000000001	0.06014982866309762	0.0137257
1029	1	1	88	1.3588461	0.1844302640964058	0.0411767
340	0	0	116	5.645125200000001	0.6858753750208124	0.1431372
1342	1	1	91	1.8941406999999995	0.2459689739863343	0.056863199999999996
102	1	1	55	0.4647215000000002	0.083166910163538	0.025490199999999998
1475	0	0	95	1.872574	0.24566362556613872	0.05294120000000001
551	0	0	90	1.5215925000000001	0.21788691390753598	0.0529412
595	0	0	96	1.2608112	0.1829859076162424	0.0529412
936	0	0	100	2.051003	0.25967040613862796	0.0529412
1678	1	1	101	2.3647292	0.29694230955463385	0.0588237
880	1	1	34	0.15295129999999996	0.029995642573713927	0.0098042
893	0	0	125	7.905906	0.8936546446135666	0.16862770000000002
1594	0	0	77	2.1862904000000003	0.31379411866951873	0.07254870000000002
1421	1	1	67	1.3411898999999998	0.1961189431404575	0.0588237
267	0	0	61	3.3784462000000004	0.5352739481719058	0.1313727
557	0	0	62	2.1078589	0.3534704778971364	0.10196119999999997
1619	1	1	92	2.7117884	0.3451835843984763	0.0686277
461	0	0	93	1.7470811000000002	0.23070018804493855	0.0490197
1598	1	1	90	2.18041	0.28896288545832316	0.0647062
1188	0	0	94	0.4529713000000001	0.059378648544826274	0.0176472
1353	0	0	78	1.4098226	0.20511672362564684	0.0490197
1128	0	0	128	6.9529701	0.7869140587263453	0.14117670000000002
765	1	1	57	0.2353149	0.04196466274057257	0.01764769999999999
166	1	1	100	1.698064	0.20880468539067792	0.04117670000000001
996	0	0	88	2.2529605999999998	0.3044538426801672	0.0686277
862	0	0	108	2.9098306000000003	0.3599647440908901	0.07647119999999996
947	1	1	61	0.5451127000000001	0.08451976155840717	0.0215687
1529	1	1	91	2.1902147	0.27541305548755307	0.05294169999999998
1620	0	0	120	5.3372790000000006	0.6111562903454402	0.1078432
1320	0	0	89	2.3039423	0.2979699578482871	0.0607847
1307	0	0	98	4.3019826000000005	0.562093470126295	0.1156862
1819	1	1	69	1.9470752999999998	0.2807226323679835	0.0588237
1804	1	1	88	1.9078650999999998	0.25572434919121406	0.0588237
1716	0	0	118	6.5666915999999995	0.77654869846	0.1431372
923	1	1	52	0.4529534	0.07530645285949937	0.0176472
376	1	1	86	2.3960972000000003	0.3225490516718969	0.0686277
1801	0	0	99	2.8804168	0.3701228617510137	0.08039270000000001
408	1	1	55	0.48824850000000003	0.08549196295237348	0.025490199999999998
1503	0	0	136	9.9941437	1.0890243436724865	0.1823532
1396	1	1	132	2.4059139	0.27675041666098715	0.0588237
373	1	1	43	0.2960886000000001	0.0538779893437014	0.0137257
1533	1	1	108	2.7902180999999997	0.33027014029226137	0.0588237
1610	0	0	76	1.2764891999999999	0.19628546536394384	0.0529412
1158	1	1	50	0.30393450000000005	0.05198999960617426	0.015686699999999998
1781	0	0	119	9.7686538	1.1350198128452471	0.21372570000000002
1300	1	1	68	0.8411936000000002	0.12526170892862673	0.0294122
1852	1	1	109	2.2039463	0.2621901124182794	0.0529412
1522	0	0	101	5.0019812	0.6511382155613661	0.13529420000000003
12	0	0	65	0.47648900000000005	0.07207205810853469	0.0196077
1833	1	1	71	1.2137416999999997	0.17395965990450196	0.0392157
398	1	1	71	1.0882531999999998	0.15631211668466394	0.0333337
223	1	1	79	2.0196258	0.28097572955445815	0.0588237
1268	1	1	91	2.0588447	0.27756157036591	0.0588237
231	0	0	101	2.6804147	0.35033509213193303	0.09215720000000001
393	0	0	51	0.5666787	0.0993066437137516	0.0294122
733	1	1	47	0.2098189	0.03642161108366844	0.0137257
968	0	0	67	0.9019789	0.13873295499674906	0.0333337
182	0	0	91	2.6117877000000007	0.3545297161701541	0.08039270000000001
1870	1	1	104	3.0647307999999995	0.37254575522029504	0.0764707
1887	0	0	117	4.0941449	0.5062486811454723	0.1000002000000001
162	1	1	49	0.23726879999999995	0.040896814827807784	0.0137257
1254	0	0	99	2.4647303	0.32130135874348553	0.06862770000000001
883	1	1	97	1.6294349000000001	0.1972824430767472	0.0411767
1600	0	0	58	0.4725631000000001	0.07505099420840472	0.0215687
15	1	1	117	3.2176754	0.3544486864772953	0.0588237
1760	1	1	80	2.00786	0.2722047107000538	0.0588237
670	0	0	90	1.900025	0.2632511413667565	0.0607847
101	0	0	89	1.4215898	0.2072979230054175	0.0529412
337	0	0	89	1.2294343	0.16246292784327754	0.0333337
1247	1	1	65	1.0411915	0.149959935511956	0.0333337
1178	0	0	58	0.6137410999999996	0.0993067384967908	0.029411700000000013
1048	0	0	106	5.8529657	0.7291680358201325	0.1431372
238	1	1	82	2.0176669	0.27470053169630015	0.0588237
360	1	1	66	1.0078586999999997	0.14754338556705954	0.0333337
114	1	1	80	1.7862925	0.25534806782027936	0.056863199999999996
1645	1	1	56	0.2843317000000001	0.048942731157854295	0.015686699999999998
506	1	1	64	0.9274667999999999	0.13963083644439003	0.0333337
967	1	1	75	0.3568840000000001	0.05202711674790369	0.015686699999999998
1100	0	0	116	5.951007700000001	0.7500905223156002	0.15098070000000002
1176	0	0	70	1.219627	0.18406488322871367	0.04705870000000001
160	0	0	101	1.0470887000000002	0.13906575188985246	0.03529469999999999
1829	1	1	95	3.6255125	0.46344848883068984	0.0960787
1903	1	1	103	2.7059026	0.318555036731363	0.0588237
427	1	1	78	1.4235471	0.21310539641212747	0.0588237
471	0	0	111	3.8941462	0.48503346003192405	0.1019607
1626	0	0	88	0.7176716	0.09597992221615935	0.0215687
1826	1	1	73	0.9235426	0.12853337253655175	0.025490699999999977
1851	0	0	83	0.8588450999999999	0.11456905236131615	0.025490199999999998
1702	1	1	93	2.3862946	0.29979647312571905	0.0588237

attacked 99/100 points, average l0 distortion:85.424242, average l1 distortion:2.218777,  average l2 distortion:0.285824, average linf distortion:0.060943, acc:0.990000
total time:3130.697519
