index	label	prediction	l0	l1	l2	linf
106	1	1	4	0.301743	0.18580897966965965	0.1666667
4	1	1	5	1.8003315000000002	0.9496019276270085	0.6111112000000001
22	0	0	4	0.4444448	0.24845210681891994	0.1666667
30	1	1	5	0.6865397000000002	0.40110934294026374	0.27777770000000007
80	0	0	4	0.4444448	0.24845210681891994	0.1666667
33	1	1	3	0.5768806	0.42363585966678974	0.3888892
58	0	0	4	0.4444448	0.24845210681891994	0.1666667
130	0	0	5	0.46803649999999997	0.2495696650068874	0.1666667
127	0	0	5	0.472479	0.25002872985399094	0.1666667
90	0	0	5	0.5555562	0.2721657447084772	0.1666667
76	0	0	6	0.7407307000000001	0.3384378005266108	0.1666667
0	0	0	6	0.6329167	0.2999695068147594	0.1666667
17	0	0	5	0.46944149999999996	0.24970639638112996	0.1666667
50	1	1	5	0.8502026	0.5530284417672567	0.5000002
126	0	0	6	0.6429841999999999	0.3008689204237287	0.1666667
3	0	0	5	0.5000005	0.2545876768134114	0.1666667
12	0	0	5	0.4971345	0.25397766411409095	0.1666667
113	0	0	4	0.33333409999999997	0.19245033029296157	0.1666667
112	0	0	4	0.4444448	0.24845210681891994	0.1666667
125	0	0	6	0.5346211999999999	0.2569308818607448	0.1666667
89	0	0	3	0.3888891	0.2421611314399361	0.1666667
77	0	0	4	0.5555557999999999	0.29397245188819987	0.1666667
78	0	0	3	0.3888891	0.2421611314399361	0.1666667
134	1	1	3	0.6111111	0.36430211143372476	0.27777770000000007
122	0	0	4	0.4309358	0.24578433343311368	0.1666667
1	0	0	3	0.3888891	0.2421611314399361	0.1666667
94	0	0	5	0.6111115	0.2991759319725602	0.1666667
124	0	0	4	0.42572329999999997	0.24494646735544073	0.1666667
120	0	0	5	0.5000004999999998	0.2545876768134113	0.1666667
62	0	0	4	0.5555557999999999	0.29397245188819987	0.1666667
69	0	0	5	0.6111114999999999	0.2991759319725602	0.1666667
40	0	0	3	0.3888891	0.2421611314399361	0.1666667
79	0	0	3	0.3888891	0.2421611314399361	0.1666667
44	1	1	5	1.5000010000000004	0.6961096089371991	0.3888892000000001
117	0	0	4	0.4444448	0.24845210681891994	0.1666667
129	1	1	4	0.9444456000000001	0.5638278292067713	0.38888920000000005
25	1	1	6	2.5168129000000006	1.182552955192202	0.6111112000000001
8	1	1	7	1.9122959000000002	0.8573894570811039	0.5000002
