index	label	prediction	l0	l1	l2	linf
8212	0	0	7	0.18502859701774077	0.07643308695101322	0.0442738777003856
16661	0	0	7	0.08491067546680892	0.03618488531955193	0.01840424069373603
33602	0	0	8	0.10055305571281392	0.04405948048040379	0.024679244262962308
21787	1	1	5	0.039437547001637374	0.01841181843534878	0.011069088597856047
3197	0	0	11	0.11095090255243145	0.04067234425539561	0.020805509676703915
4767	0	0	9	0.07685904155122275	0.029349304835495124	0.016578498765503213
11479	0	0	11	0.1385735375366746	0.04600157543059618	0.02289374403969574
63449	0	0	10	0.16252153753953053	0.05393329369614381	0.0249173192501283
56619	0	0	12	0.13694237853896338	0.04265383133052568	0.017366784851899797
40489	0	0	9	0.18355749642743263	0.06629941319903762	0.028651249360121256
53755	0	0	4	0.0666489508355178	0.0485090709484838	0.046574187957278634
60244	0	0	12	0.1703789217630557	0.05576675866843861	0.028190687334562647
89798	0	0	11	0.11643917119577528	0.03656081165819281	0.016214877149053897
73780	0	0	11	0.278006437040849	0.09009499223830778	0.03669936798905232
25318	1	1	9	0.056769524223819534	0.022056099394637214	0.010903366072301801
63138	0	0	9	0.07331417003511223	0.02839681510814344	0.017061983788422275
23927	0	0	10	0.10930472289686141	0.03795084464516796	0.016950107505399492
61625	0	0	12	0.4263150278060456	0.1369798170877189	0.05328251767592446
37743	0	0	9	0.08389341637391115	0.03300346144079302	0.01605376522571167
41550	0	0	10	0.06019136308451492	0.022539248338131507	0.009917347364999829
19791	0	0	10	0.10503604392431384	0.040109388579933965	0.02413133005804924
82163	0	0	11	0.24364299274028922	0.07836678232963606	0.03416788991169595
7318	0	0	10	0.7903491010783592	0.2622736919099624	0.10409259852158087
72499	0	0	12	0.15171506779938926	0.049987631689597634	0.02171690869493914
53481	0	0	8	0.34072921805327966	0.13219785273756443	0.06859573134690089
85536	1	1	10	0.18835518266933066	0.06327186957708907	0.03126215122310538
76171	1	1	6	0.02473982425615845	0.01177980368328317	0.007631700192890056
64674	0	0	9	0.09268372598261287	0.03380152146340652	0.01730426674301261
17968	0	0	9	0.17229405407256285	0.06517779273992848	0.033264752292962
40938	0	0	10	0.12056681303081498	0.04380325223905577	0.019667139269994416
83504	0	0	12	0.36340350085549555	0.11023789760437953	0.045858563189278334
81830	0	0	10	0.22439264543196555	0.07424017555125474	0.030078648278114017
4562	0	0	12	0.3310705260272823	0.10448064771994153	0.037470199108452784
23831	1	1	7	0.15147107398976017	0.061013564597442296	0.03081366201887592
46688	0	0	10	0.10663988745156902	0.03764682570938461	0.020030295111526875
82850	0	0	10	0.11549864074949853	0.04408229758447717	0.022176988815715504
67911	0	0	11	0.7590518109222761	0.24294876657035777	0.09291250163455372
17399	0	0	9	0.08021897829424435	0.02887821683978322	0.013603251638350689
83033	0	0	10	0.16446528291045628	0.05423857133420047	0.024552580752909225
31234	1	1	8	0.20067649413694855	0.10032840415331365	0.07098770926631914
8391	0	0	6	0.1587814310035351	0.0725818377212112	0.041927107557039156
59541	0	0	12	0.2525586212042115	0.07985242532252664	0.03503721410375954
22163	0	0	8	0.18352284990922146	0.07100625366777716	0.03577605551620133
26360	0	0	11	0.1625196826624486	0.05101327985675067	0.022394681983760933
53491	0	0	4	0.2461414532433956	0.12683517023747637	0.07466342047642321
27170	0	0	8	0.051834332740497646	0.022223332232973205	0.012278233090524615
73476	0	0	7	0.08405710599254843	0.033024122688311564	0.017206662532236905
83899	0	0	10	0.18209926418207173	0.05978137200849106	0.02611943458625826
69326	1	1	9	0.1089576565947073	0.04412455477929924	0.02760021878779967
87071	0	0	8	0.06679744733128196	0.02558279884156314	0.013149883959441389
72658	1	1	8	0.07125694390831311	0.033771096958797146	0.02046219093112772
24879	0	0	11	0.19335718972594715	0.06450927250971493	0.028769484939687617
3325	0	0	6	0.027982212758085434	0.012620502603778215	0.0083033303132109
73832	1	1	10	0.14889283008746138	0.05347096758652015	0.027402508074349186
1854	0	0	9	0.08815981628319913	0.03308641067123551	0.017088198473586114
52535	0	0	9	0.1002368591766234	0.03640424677759665	0.018139188071190193
12223	0	0	7	0.0769738115363468	0.030618356090806476	0.01678403978426679
60234	0	0	10	0.28018067798113383	0.09526468204797658	0.04189206158692371
76853	0	0	10	0.6421343365786392	0.22426723607038712	0.10440205485551463
3214	0	0	6	0.04241141269702903	0.01972823622239387	0.011329894205399205
73813	0	0	11	0.26837572743199667	0.09404968413723541	0.04816324550231921
15000	0	0	6	0.20206678096234287	0.09164346248130971	0.04725445046248056
80584	1	1	8	0.022993288795256445	0.008850646229816333	0.004926399386093128
79097	0	0	7	0.05788000739574051	0.02629418481088619	0.01460568380482552
26622	1	1	6	0.010734545982570454	0.006725029682106163	0.005768555227625649
12159	0	0	8	0.06838494310896326	0.025983857278688252	0.014951204117520156
27791	0	0	12	0.2544444625317589	0.07983124478658382	0.03275086479497452
25611	0	0	8	0.037034467507208346	0.016272568258881688	0.009400955257394261
6252	0	0	8	0.05229652924423012	0.02087753699942252	0.009534208740807404
1011	0	0	11	0.15775710497559103	0.0531913654948105	0.024511192916224833
46486	0	0	8	0.05215006834779784	0.020399766227680142	0.009342202211401363
39457	0	0	7	0.06258602698243937	0.024337778232224813	0.011936109315832444
6538	0	0	9	0.08293286039890296	0.02931701281554632	0.012601855407149976
78974	0	0	12	0.2776517828427186	0.08776464707628037	0.033393911205547855
28728	0	0	5	0.018660972153959676	0.009342625379589872	0.005619380868643331
1877	0	0	9	0.09978264781730434	0.042368843364740345	0.025528264472377105
33939	0	0	6	0.046858378657241906	0.024801041547326062	0.017007685984331777
40071	0	0	8	0.06673838583373173	0.026548789438158527	0.01303446870806152
22798	0	0	10	0.23268850121212747	0.08191712625396003	0.038579619801763554
47488	0	0	8	0.10054281870645768	0.04492242562973472	0.026143386448786887
51286	0	0	12	0.28930729641896474	0.08887941868574038	0.03392895845450983
70945	0	0	12	0.4116230354741068	0.1302724730016978	0.05470703702912788
5200	0	0	10	0.06050063347281481	0.0249650448967357	0.01513539904132094
89376	0	0	12	0.12871147092106172	0.04696261154131491	0.02418398137046135
50202	0	0	9	0.07178225161951746	0.027310178230731185	0.012440350126213917
48581	1	1	7	0.028514828000352488	0.011603526141710783	0.005970495149193844
40686	0	0	5	0.012110568469910765	0.00650042819907924	0.0046224403304342965
2614	0	0	8	0.041364090331194314	0.016710285220466296	0.009440940608378412
32337	0	0	11	0.09004638139047857	0.032803736756262296	0.01582328433701996
44049	0	0	11	0.19127805996875724	0.06297983965912242	0.02785066203254538
4293	0	0	11	0.08559440039730859	0.03049403908090037	0.01290250317311803
45830	0	0	12	0.11197562945956167	0.03582218793849708	0.01529331825378255
57630	0	0	10	0.22122589563160633	0.07529101899601677	0.03157631861070531
73220	0	0	11	0.2764783043834989	0.08766656417341924	0.03563537237844139
79862	0	0	9	0.05865122080707594	0.020627518391814512	0.009370680080679594
43343	0	0	8	0.0783441700059069	0.03624592943986458	0.02311296145265984
70927	0	0	11	0.33617166223332334	0.10867017739194884	0.054668729960237195
62667	0	0	5	0.03897543624906219	0.018395212436145045	0.010692813398116008

attacked 98/100 points, average l0 distortion:9.081633, average l1 distortion:0.155731,  average l2 distortion:0.055838, average linf distortion:0.026887, acc:0.980000
total time:903.117460
