index	label	prediction	l0	l1	l2	linf
195	0	0	71	17.337268299999998	2.1683043003643863	0.3078437
179	0	0	126	34.5804191	3.2008863928291817	0.3509807
1911	1	1	92	24.452959399999997	2.6766949419765935	0.3254902
861	0	0	72	18.9137384	2.3409217608968653	0.32941170000000003
976	0	0	93	22.564728599999995	2.487411537259209	0.3137257
83	1	1	83	21.1313851	2.4332477596065862	0.3078437
1288	1	1	75	18.913743500000002	2.296601599994468	0.30980420000000003
1526	0	0	112	26.784338000000005	2.7171964126247445	0.32352970000000003
61	0	0	14	2.4941208	0.7474272958019128	0.2862747
802	1	1	79	17.7921823	2.1690606517733686	0.3039217
433	1	1	42	7.5764799	1.305277202684177	0.3000007
1029	1	1	58	12.4490291	1.7893785653905299	0.3039217
340	0	0	119	33.0529619	3.2227911084980376	0.38039270000000003
1342	1	1	81	18.3686382	2.1971942152020927	0.3039217
102	1	1	51	12.5745212	1.854881389248229	0.3058827
1475	0	0	54	11.9392273	1.7967249571427202	0.30784370000000005
551	0	0	81	20.1706018	2.3702183601526126	0.31764770000000003
595	0	0	94	23.058843700000004	2.5169754820686734	0.31764770000000003
936	0	0	54	12.4921614	1.8143914646795658	0.3039217
1678	1	1	98	22.5039412	2.441573488953265	0.30980420000000003
261	0	0	4	0.04313880000000003	0.0243333071192553	0.017647199999999974
880	1	1	30	4.198046	0.8806638646959463	0.2745107
893	0	0	130	34.403949600000004	3.1895048919193867	0.3549022
1594	0	0	88	24.096092100000003	2.704153240433421	0.3568632
1421	1	1	111	28.2451168	2.7866860305265897	0.3117652
267	0	0	98	26.2157092	2.8042980235294745	0.3666667
557	0	0	78	22.045118700000003	2.618660802960985	0.3666672
1619	1	1	80	20.772561500000002	2.4417455582106933	0.3117652
461	0	0	79	17.2647228	2.123176238154869	0.3078437
1598	1	1	101	29.0431583	2.9227928998462738	0.32352970000000003
1188	0	0	66	17.0490337	2.209193027876376	0.3078437
1353	0	0	94	25.2843338	2.700239889867521	0.3196082
1128	0	0	150	41.51571249999999	3.6180072128528806	0.3686277
765	1	1	19	1.9686308	0.5499018321623961	0.21372519999999995
166	1	1	68	15.484327	2.028365328884257	0.3039217
996	0	0	116	29.3313916	2.8493911487957457	0.32352970000000003
862	0	0	107	27.3098269	2.798592992992502	0.3274512
947	1	1	95	21.7059026	2.388573498451555	0.3039217
1529	1	1	61	14.717655200000001	2.005069486461913	0.3078437
1620	0	0	139	37.9666928	3.3660292260946814	0.3470592
1320	0	0	43	7.3823611	1.2659586924548407	0.2901967
1307	0	0	139	39.3666919	3.4625234986526965	0.3647057
1819	1	1	102	24.5117854	2.5643278307198907	0.3078437
1804	1	1	83	18.7568796	2.2413094223055237	0.3058827
1716	0	0	87	21.145118399999998	2.491790797553615	0.3431377
923	1	1	55	12.766675500000002	1.8571971493252273	0.3039217
376	1	1	97	23.3588324	2.5150725996604115	0.3078437
1801	0	0	114	28.688257000000004	2.8382350459948453	0.32941170000000003
408	1	1	100	24.141196	2.589744401201671	0.30980420000000003
1503	0	0	134	40.0137483	3.634729713146386	0.4039217
1396	1	1	102	24.8960999	2.6247322744423154	0.3156867
373	1	1	55	13.013737	1.8808901934963138	0.30392220000000003
1533	1	1	88	19.3588336	2.2712384089139386	0.3078432
1610	0	0	80	20.3176635	2.3761113934849414	0.3137257
1158	1	1	56	12.823537700000001	1.842965053232315	0.3039217
1781	0	0	88	22.7176653	2.575482965887538	0.3470592
1300	1	1	94	21.6529593	2.3687355668454657	0.3058827
1852	1	1	63	16.398051600000002	2.1584490793259685	0.3078437
1522	0	0	124	36.7706197	3.4648281152734444	0.4117652
12	0	0	31	4.6568717	0.9469830122936156	0.2568627
1833	1	1	63	15.4392271	2.044692259940373	0.3039217
398	1	1	80	17.464723	2.115362575139425	0.3039217
223	1	1	86	22.5647222	2.5242310075287167	0.3196082
1268	1	1	47	9.680403400000001	1.5242776550561516	0.3039217
231	0	0	111	26.1392342	2.6699239353287276	0.3254907
393	0	0	29	4.1294148	0.8782919036577532	0.2568627
733	1	1	29	4.4313783	0.974449703696353	0.27647120000000003
968	0	0	37	6.3725594	1.2598783585419189	0.3078437
182	0	0	92	23.249038399999996	2.5628595028626093	0.32352970000000003
1870	1	1	96	27.147079199999997	2.8365794200474697	0.3254902
1887	0	0	124	33.792182800000006	3.153298086806203	0.3313727
162	1	1	47	10.7725544	1.7237407983946949	0.3039217
1254	0	0	89	22.168647200000002	2.4999365818903447	0.3274512
883	1	1	65	16.1588365	2.117148072952563	0.3078432
1600	0	0	34	4.6156898	0.909153502605066	0.2588232
15	1	1	85	21.652956500000002	2.4640693859020995	0.3117652
1760	1	1	80	19.8549165	2.379547140114301	0.3196082
670	0	0	80	20.1392295	2.389230506013568	0.3313727
101	0	0	102	23.901971	2.4939028340720895	0.3078437
337	0	0	47	10.3470674	1.6384789936310078	0.3078432
1247	1	1	65	14.519623	1.9443038198979088	0.3039217
1178	0	0	37	7.5882419	1.3542970334852802	0.29607870000000003
1048	0	0	117	32.0059074	3.0963848416750914	0.3431377
238	1	1	88	22.154913099999998	2.465625561384062	0.3078437
360	1	1	61	14.2843242	1.931759945253742	0.3039217
114	1	1	89	22.176482800000002	2.4712368221887515	0.3156867
1645	1	1	43	10.7509856	1.7326253974999963	0.3039217
506	1	1	58	13.617656100000001	1.926350582064145	0.3078432
967	1	1	63	14.9568716	2.0112037241139	0.3039217
