index	label	prediction	l0	l1	l2	linf
106	1	1	5	0.7222232000000002	0.3726783838353387	0.2777779
4	1	1	5	1.3888897	0.7136244084225749	0.5000002
22	0	0	2	0.7777784	0.549972380900423	0.3888892
30	1	1	5	1.277779	0.6961096248989092	0.5000002
80	0	0	2	0.7777784	0.549972380900423	0.3888892
33	1	1	3	0.9444451	0.6358627569524496	0.5000002
58	0	0	2	0.7777784	0.549972380900423	0.3888892
130	0	0	2	0.5555564	0.4230990019280121	0.3888892
127	0	0	1	0.3888892	0.3888892	0.3888892
90	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
76	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
0	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
17	0	0	2	0.7777784	0.549972380900423	0.3888892
126	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
3	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
12	0	0	2	0.7777784	0.549972380900423	0.3888892
113	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
112	0	0	2	0.7777784	0.549972380900423	0.3888892
125	0	0	2	0.44444540000000005	0.3239424083862439	0.27777820000000003
89	0	0	2	0.7777784	0.549972380900423	0.3888892
43	1	1	4	1.3333348	0.693889317676645	0.5000002
77	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
78	0	0	1	0.27777769999999996	0.27777769999999996	0.27777769999999996
134	1	1	2	0.7777784	0.571979832157813	0.5000002
122	0	0	2	0.7777784	0.549972380900423	0.3888892
1	0	0	2	0.7777784	0.549972380900423	0.3888892
94	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
124	0	0	2	0.7777784	0.549972380900423	0.3888892
120	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
62	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
69	0	0	1	0.16666669999999995	0.16666669999999995	0.16666669999999995
40	0	0	2	0.7777784	0.549972380900423	0.3888892
