index	label	prediction	l0	l1	l2	linf
110970	1	1	6	0.26291486272444725	0.1158797266257518	0.0657828562709935
264051	1	1	4	0.0981420679534857	0.06717030177474345	0.05464262196408021
90207	1	1	5	0.18562993551518836	0.09827808153551917	0.05968956830835126
216696	0	0	4	0.4956031071442883	0.26733224926770255	0.17585662612419695
62041	0	0	5	0.1266551433682711	0.06421543013476194	0.04041803618843687
13425	0	0	2	0.03975042641414828	0.029397150731740353	0.025963902355460422
22028	0	0	4	0.11600424920665536	0.07837925682017348	0.059154480513918695
238110	1	1	5	0.017662635576828678	0.010717165446421742	0.009800466829046395
38652	0	0	5	0.08284416025819241	0.04132674399138073	0.027569898072805077
860	0	0	5	0.19145004138268223	0.09630829161878648	0.05647779957173449
108804	1	1	5	0.16924117560061913	0.08450617145810964	0.05594831708518955
111424	1	1	5	0.18662527007884805	0.08476549341059106	0.0445303562709935
94314	1	1	2	0.05502385337383911	0.03917671325544105	0.030752500821712492
366	0	0	4	0.0499025375838979	0.029564097571991858	0.0234953467690876
63682	0	0	6	0.13311634072612083	0.06556143582292463	0.04951835096359736
166122	0	0	5	0.19391417220754747	0.09531466326232366	0.05273053297644548
150809	0	0	6	0.17323474243595874	0.08325180966689223	0.05754849443254817
203469	0	0	7	0.33602356024812796	0.1399114311836182	0.09073889593147755
31706	0	0	3	0.07783611664872064	0.04978691741465963	0.03667071284796575
244867	1	1	4	0.13968962778912586	0.07795357599488961	0.049518317773019294
110115	1	1	4	0.05451468961036088	0.03161075070962059	0.02586769261676758
6366	0	0	6	0.24936553147041865	0.10615049853329864	0.06343697623126332
206005	0	0	4	0.10626346956957111	0.061358627570449145	0.05165965396145611
7626	0	0	5	0.14644679020540763	0.07169165893395574	0.03774121713062095
218656	0	0	6	0.34434271476225853	0.15720801453450667	0.08473427803591976
178303	0	0	5	0.22588849988635684	0.10729460763386695	0.06450777066381153
64383	0	0	5	0.016040771763494166	0.007982683600468096	0.0061566561027837086
197806	0	0	6	0.41748766211121613	0.18161833832079236	0.10144567216274092
50819	0	0	6	0.271740916872849	0.12646773918213652	0.0720026100642398
134344	0	0	3	0.17622437452779666	0.12526556520460017	0.1051928145610278
52582	0	0	4	0.19480315024149464	0.10080227150564405	0.05754865717344759
84802	1	1	4	0.038295533076783905	0.020389835421059405	0.013115692505353382
48168	0	0	1	0.007227315631691655	0.007227315631691655	0.007227315631691655
111659	1	1	3	0.1646277409998151	0.10558299503458106	0.0827089376873662
127348	0	0	3	0.0757322366743102	0.05783716323020967	0.05594246017130622
196419	0	0	6	0.3405098196114349	0.15055889774003026	0.08913304689507495
175885	0	0	6	0.6247225919109546	0.25510541629585104	0.10733405546038544
