index	label	prediction	l0	l1	l2	linf
106	1	1.0	3	0.33333599999999997	0.20787125052301006	0.166668
4	1	1.0	7	2.2447760000000003	1.051402782310376	0.611112
22	0	0.0	10	1.391261	0.4746748131184127	0.166668
30	1	1.0	7	1.4087660000000002	0.6214488054972831	0.388889
80	0	0.0	9	1.2392850000000002	0.44477368696113306	0.166668
33	1	1.0	8	1.947848	0.799313940470201	0.38889000000000007
29	1	1.0	7	1.889198	0.9362402316894953	0.611112
58	0	0.0	8	0.895656	0.35249845780939243	0.166668
130	0	0.0	9	1.35689	0.47199444988050443	0.166668
127	0	0.0	8	1.0835540000000001	0.4129628983334944	0.166668
90	0	0.0	10	1.297408	0.4343485690318319	0.16666799999999998
76	0	0.0	9	1.1699200000000003	0.42716702747052004	0.166668
0	0	0.0	8	1.11766	0.40919195004300857	0.166668
17	0	0.0	8	1.0708600000000001	0.41229705538118994	0.166668
50	1	1.0	6	1.899727	0.92968609919639	0.611112
126	0	0.0	7	1.0555590000000001	0.4120125702317831	0.166668
3	0	0.0	8	1.0555620000000001	0.39674807755551883	0.166668
12	0	0.0	7	0.9444490000000001	0.3808714341966328	0.16666799999999998
113	0	0.0	9	1.127369	0.4085733226888413	0.166668
112	0	0.0	9	1.077477	0.3973527865600039	0.16666799999999998
125	0	0.0	8	0.9444509999999999	0.35573118926936953	0.16666799999999998
89	0	0.0	6	0.7844420000000001	0.3436127630371142	0.166668
43	1	1.0	5	0.627394	0.3026230169270011	0.16666799999999998
77	0	0.0	8	1.120852	0.4232126889732868	0.166668
78	0	0.0	8	1.065887	0.4121419969051929	0.166668
134	1	1.0	7	1.8333359999999999	0.911180173535399	0.611112
122	0	0.0	9	1.266867	0.4466825849358804	0.166668
1	0	0.0	8	1.062583	0.3977919667828902	0.166668
94	0	0.0	9	1.340512	0.459049771680588	0.166668
124	0	0.0	8	1.1701329999999999	0.4409741497514339	0.166668
120	0	0.0	8	0.912055	0.36078747005543305	0.166668
62	0	0.0	10	1.273282	0.4473690871908787	0.166668
69	0	0.0	9	1.277895	0.44791883668249544	0.166668
40	0	0.0	8	1.119341	0.41692023829624775	0.166668
79	0	0.0	8	1.00406	0.385508133128213	0.166668
44	1	1.0	8	2.03714	0.8059325918239068	0.38888900000000004
117	0	0.0	9	1.238766	0.4447540857687538	0.166668
129	1	1.0	8	1.3110709999999999	0.5593189769112076	0.388889
