index	label	prediction	l0	l1	l2	linf
106	1	1.0	1	0.277779	0.277779	0.277779
4	1	1.0	3	1.055555	0.6916609192089719	0.611111
22	0	0.0	3	0.611112	0.4267306086350029	0.388889
30	1	1.0	3	0.575431	0.42356564121868995	0.388889
80	0	0.0	6	0.611115	0.3379326399432289	0.277779
33	1	1.0	3	0.7222250000000001	0.5299676323710723	0.500001
29	1	1.0	1	0.611112	0.611112	0.611112
58	0	0.0	3	0.611112	0.4267306086350029	0.388889
130	0	0.0	2	0.611112	0.4746675119639009	0.444445
127	0	0.0	2	0.5555559999999999	0.4230987393150682	0.388889
90	0	0.0	6	0.5040789999999999	0.2992052240904226	0.277779
76	0	0.0	3	0.611112	0.4267306086350029	0.388889
0	0	0.0	5	0.44832700000000003	0.2939995544265331	0.277779
17	0	0.0	5	0.6111139999999999	0.3379326399417494	0.277779
50	1	1.0	3	0.9145730000000001	0.8355786265702349	0.833334
126	0	0.0	2	0.611112	0.4746675119639009	0.444445
3	0	0.0	6	0.520139	0.2553842569599779	0.166668
12	0	0.0	5	0.6111139999999999	0.3379326399417494	0.277779
113	0	0.0	4	0.394482	0.2887304460322811	0.277779
112	0	0.0	6	0.615974	0.33796758533622717	0.277779
125	0	0.0	5	0.5612320000000001	0.33338295439029275	0.277779
89	0	0.0	3	0.500001	0.3286715310290807	0.27777799999999997
43	1	1.0	3	0.32717300000000005	0.20630901394510132	0.166667
77	0	0.0	4	0.500585	0.32867339856611455	0.277779
78	0	0.0	3	0.611112	0.4267306086350029	0.388889
134	1	1.0	2	0.963758	0.9446424455813957	0.944445
122	0	0.0	2	0.611112	0.4746675119639009	0.444445
1	0	0.0	5	0.558406	0.33334683305230306	0.277779
94	0	0.0	6	0.5045120000000001	0.29921143454420324	0.277779
124	0	0.0	2	0.611112	0.4746675119639009	0.444445
120	0	0.0	5	0.452059	0.2940724718211482	0.277779
62	0	0.0	3	0.500003	0.3286725452163597	0.277779
69	0	0.0	5	0.500004	0.29917747324623223	0.277779
40	0	0.0	3	0.611112	0.4267306086350029	0.388889
79	0	0.0	5	0.6111139999999999	0.3379326399417494	0.277779
44	1	1.0	5	1.219641	0.7451682867252202	0.666667
117	0	0.0	4	0.6177659999999999	0.4267824833120497	0.388889
129	1	1.0	4	0.988888	0.8382085703582373	0.833334
25	1	1.0	3	1.833335	1.13719470194202	0.944445
8	1	1.0	3	1.222224	0.984447548277713	0.944445
87	0	0.0	6	0.6132409999999999	0.3379393337079897	0.277779
75	0	0.0	2	0.22222399999999998	0.17568349768831446	0.16666799999999998
11	0	0.0	5	0.6111139999999999	0.3379326399417494	0.277779
35	0	0.0	6	0.502625	0.29918877697701163	0.277779
65	0	0.0	3	0.277779	0.18425750231944427	0.166667
82	0	0.0	4	0.612592	0.4267331751176606	0.388889
5	0	0.0	5	0.447652	0.2939912452335954	0.277779
88	0	0.0	4	0.281483	0.1842944466743369	0.166667
70	0	0.0	3	0.611112	0.4267306086350029	0.388889
24	0	0.0	3	0.611112	0.4267306086350029	0.388889
111	0	0.0	3	0.16666999999999998	0.09622696936929896	0.055556999999999995
23	0	0.0	3	0.500003	0.3286725452163597	0.277779
34	0	0.0	6	0.503748	0.2992008991196384	0.277779
97	0	0.0	4	0.61521	0.426750285237163	0.388889
41	0	0.0	6	0.615623	0.33796272016155865	0.277779
52	0	0.0	2	0.38888999999999996	0.277778600000072	0.22222299999999998
55	0	0.0	3	0.611112	0.4267306086350029	0.388889
57	0	0.0	5	0.500004	0.29917747324623223	0.277779
73	0	0.0	2	0.38888999999999996	0.33793198234556016	0.33333399999999996
114	0	0.0	6	0.505614	0.2992298994184906	0.277779
16	0	0.0	5	0.6111139999999999	0.3379326399417494	0.277779
67	0	0.0	3	0.611113	0.3967470973567418	0.277779
131	0	0.0	3	0.611112	0.4267306086350029	0.388889
132	0	0.0	4	0.500002	0.2886760968455822	0.22222299999999995
19	0	0.0	4	0.44444700000000004	0.2939737747640085	0.277779
103	0	0.0	4	0.6161869999999999	0.4267607854184824	0.388889
100	0	0.0	4	0.44444799999999995	0.2939739637484925	0.277779
136	1	1.0	3	0.805599	0.7248906698702915	0.722223
32	0	0.0	4	0.44684199999999996	0.3928445803037125	0.388889
6	0	0.0	6	0.392169	0.20033625551806644	0.166667
46	0	0.0	2	0.611112	0.4746675119639009	0.444445
39	0	0.0	6	0.614595	0.33795056812942337	0.277779
54	0	0.0	4	0.44444599999999995	0.29397358578280464	0.277779
99	0	0.0	4	0.55556	0.3333353333356667	0.277779
101	0	0.0	4	0.44444799999999995	0.2939739637484925	0.277779
37	0	0.0	6	0.614348	0.33794811420394105	0.277779
123	0	0.0	2	0.611112	0.4746675119639009	0.444445
128	0	0.0	3	0.611112	0.4267306086350029	0.388889
36	0	0.0	4	0.333338	0.19245220668519236	0.166668
135	1	1.0	2	0.44444600000000006	0.3928382634571129	0.38889000000000007
38	0	0.0	1	0.277779	0.277779	0.277779
2	0	0.0	6	0.6139939999999999	0.3379449119871462	0.277779
96	1	1.0	2	1.000001	0.7738001544410547	0.722223
7	1	1.0	4	0.634537	0.3974379738235892	0.277779
64	1	1.0	3	0.5615030000000001	0.5031131324592909	0.500001
10	1	1.0	4	0.9972300000000001	0.6380498428069707	0.500001
47	1	1.0	4	1.4107089999999998	0.9986944694274621	0.944445
28	0	0.0	4	0.500165	0.3286729232002539	0.277779
72	0	0.0	3	0.611112	0.4267306086350029	0.388889
21	1	1.0	4	0.8454570000000001	0.5062809859287627	0.388889
45	0	0.0	3	0.611112	0.4267306086350029	0.388889
20	1	1.0	3	1.055555	0.6916609192089719	0.611111
31	1	1.0	4	0.5856189999999999	0.3779942293541001	0.333334
86	1	1.0	3	1.166668	0.9606458732696456	0.944445
63	0	0.0	2	0.11111099999999996	0.07856734156760044	0.055556
91	0	0.0	6	0.61369	0.33794245799248135	0.277779
92	0	0.0	5	0.558169	0.3333448924507469	0.277779
119	1	1.0	4	1.303291	0.9737468859765354	0.944445
81	0	0.0	4	0.612205	0.4267320084022289	0.388889

model makes 99/100 correct predictions
attacked 99/100 points, average l0 distortion:3.777778, average l1 distortion:0.614277,  average l2 distortion:0.422631, average linf distortion:0.381594
avg time:0.488721
success rate: 99/99
